PN,text,frequency
positive,빠르,12
positive,하루,2
positive,당일,1
positive,다음날,0
positive,예상,0
positive,빨리,0
positive,꼼꼼,0
positive,안전 하게,0
positive,바로,0
positive,무료,0
negative,만,2
negative,아쉽,1
negative,걸리,1
negative,늦,1
negative,지연,1
negative,직원,0
negative,느리,0
negative,지연이,0
negative,오래,0
negative,파손,0
