PN,text,frequency
positive,빠르,269
positive,빨리,61
positive,바로,27
positive,하루,21
positive,다음날,14
positive,예상,12
positive,꼼꼼,5
positive,당일,3
positive,정확,2
positive,무료,2
positive,안전 하게,0
negative,만,46
negative,느리,34
negative,늦,30
negative,걸리,27
negative,아쉽,14
negative,오래,14
negative,지연,7
negative,파손,2
negative,직원,1
negative,찢어지,0
negative,지연이,0
negative,버려두,0
