PN,text,frequency
positive,좋,118
positive,깔끔,73
positive,이쁘,35
positive,예쁘,31
positive,심플,16
positive,고급스럽,16
positive,적당,9
positive,훌륭,9
positive,고급,7
positive,만점,2
positive,합격,2
positive,굳,1
positive,간결,1
positive,잘빠지,1
positive,세렴,0
negative,투박,3
negative,착시,2
