PN,text,frequency
positive,설치,348
positive,깔,100
positive,깔리,12
positive,문제없이,7
positive,기본,5
positive,정품,4
positive,탑재,1
positive,셋팅,0
positive,활성화,0
positive,기본으로,0
negative,욕먹을 짓,0
