PN,text,frequency
positive,추천,0
positive,만족,0
positive,공짜,0
positive,잘,0
positive,좋,0
positive,저렴,0
positive,싸게,0
positive,무료,0
negative,기스,0
negative,쓰레기,0
negative,틈,0
negative,흠집,0
negative,실수,0
negative,섭,0
negative,화나,0
