PN,text,frequency
positive,좋,197
positive,만족,88
positive,매우,12
positive,훨씬,9
positive,필요,8
positive,대만족,4
positive,충분,4
positive,빠릿빠릿,3
positive,나쁘,3
positive,성능도,2
positive,탁월,0
negative,차이,5
