PNword	review
좋	가성비 좋 고 디자인 성능 깔끔
만족	가격 대 성능 이 가장 만족 스럽 었 습니다
좋	자 소서 용 인강 용 사무용 으로 구매 하 았 는데 성능 너무 좋 아요
좋	배송 아주 빠르 었 습니다 생각 보다 되 게 성능 이 좋 아서 놀라 았 습니다 가성비 좋 고 휴대 하 기 도 편하 ㅂ니다 잘 사용 하 겠 습니다 
좋	배송 아주 빠르 었 습니다 생각 보다 되 게 성능 이 좋 아서 놀라 았 습니다 가성비 좋 고 휴대 하 기 도 편하 ㅂ니다 잘 사용 하 겠 습니다
대만족	노트북 성능 은 전체 적 으로 대만족 , 여러 노트북 을 알아보 던 중 , 가격 대비 성능 우수 하 ㅂ니다
좋	좋 은 가격 에 좋 은 성능 인 것 같 네요 잘 쓸 게 이 어 : ) 
좋	좋 은 가격 에 좋 은 성능 인 것 같 네요 잘 쓸 게 이 어 : )
좋	겉면 이 지문 이 잘 묻 어서 아쉽 기 는 하지만 노트북 성능 이랑 내부 는 너무 좋 아서 잘 산 것 같 아요
좋	이 제품 이 가격 대비 성능 이 좋 다고 추천 받 아 구매 하 았 는데 부팅속도 도 빠르 고 좋은것 같 습니다
만족	가격 대비 성능 만족 하 ㅂ니다
좋	사실 비슷 하 ᆫ 가격대 비슷 하 ᆫ 성능 의 노트북 , 즉 대 체재 가 제조사 별로 다수 존재 하 아서 선택 하 는데 고민 이 많 았 으나 받 아 보 고 레노버 로 선택 하 기 ㄹ 잘 하 았 다는 생각 이 들 네요 asus 비보 북 과 끝 까지 고민 하 았 는데 결국 백라이트 키보드 에서 레노버 손 을 들 었 습니다 성능 이나 가격 이나 너무 마음 에 들 고 빌드 퀄리티 또한 이 가격대 에서 보 기 드물 게 아주 좋 습니다 라 이제 ᆫ 덕분 에 가성비 좋 은 노트북 을 구매 하 게 되 ᆫ 것 같 네요 
좋	사실 비슷 하 ᆫ 가격대 비슷 하 ᆫ 성능 의 노트북 , 즉 대 체재 가 제조사 별로 다수 존재 하 아서 선택 하 는데 고민 이 많 았 으나 받 아 보 고 레노버 로 선택 하 기 ㄹ 잘 하 았 다는 생각 이 들 네요 asus 비보 북 과 끝 까지 고민 하 았 는데 결국 백라이트 키보드 에서 레노버 손 을 들 었 습니다 성능 이나 가격 이나 너무 마음 에 들 고 빌드 퀄리티 또한 이 가격대 에서 보 기 드물 게 아주 좋 습니다 라 이제 ᆫ 덕분 에 가성비 좋 은 노트북 을 구매 하 게 되 ᆫ 것 같 네요
만족	가격 성능 모두 만족 스럽 ᆫ 제품 이 ㅂ니다
좋	가격 대비 성능 은 정말 좋 은데 레노버 가 꼭 한가지 씩 아쉽 네요
좋	성능 은 현존 하 는 노트북 에서 가성비 가 좋은 것 같 습니다 주 변 지인 들 에게 도 추천 하 아 주 ᆯ 만큼 좋 네요
만족	처음 에 그래픽 드라이버 이 니 뭐 이 니 이것저것 설치 하 느라 애 좀 먹 었 지만 가격 대비 너무 만족 스럽 ᆫ 성능 이 ㅂ니다
만족	이번 에 더블 더블 업그레이드 도 받 아서 솔직히 이만한 가격 에 이만한 성능 못 구하 ᆯ 것 같 아요 너무 만족 하 ㅂ니다
좋	레노버 에 라 이제 ᆫ 은 또 처음 이 라 걱정 많이 하 았 는데 가격 대비 성능 이 무척 좋 아 만족 하 ㅂ니다 
만족	레노버 에 라 이제 ᆫ 은 또 처음 이 라 걱정 많이 하 았 는데 가격 대비 성능 이 무척 좋 아 만족 하 ㅂ니다
좋	인강 하고 수행평가 하 라고 이번 에 바꾸 어 주 었 는데 예전 꺼 에 비하 아 성능 이 좋 아 만족 하 네요 
만족	인강 하고 수행평가 하 라고 이번 에 바꾸 어 주 었 는데 예전 꺼 에 비하 아 성능 이 좋 아 만족 하 네요
만족	레노버 는 처음 사 았 는데 가격대 성능 너무 만족 하 ㅂ니다
좋	가볍 ᆫ 노트북 을 가지 고 싶 어 휴대용 으로 구매 하 았 으나 성능 이 좋 아 너무 놀라 았 습니다 강추 하 ㅂ니다
좋	50 만 원 아래 에 가성비 좋 은 노트북 을 찾 다보니 , 이 제품 과 에이서 제품 을 비교 하 던 중 에 우연히 더블 더블 업그레이드 이벤트 접하 고 구매 하 게 되 었 는데 성능 , 디자인 , 소음 , 발열 등 노트북 의 전반 적 인 부분 에 만족 하 고 있 습니다 
만족	50 만 원 아래 에 가성비 좋 은 노트북 을 찾 다보니 , 이 제품 과 에이서 제품 을 비교 하 던 중 에 우연히 더블 더블 업그레이드 이벤트 접하 고 구매 하 게 되 었 는데 성능 , 디자인 , 소음 , 발열 등 노트북 의 전반 적 인 부분 에 만족 하 고 있 습니다
좋	배송 빠르 며 윈도우 설치 하 니 성능 좋 습니다
만족	디자인 색상 성능 모든 면 에서 만족 스럽 어요 색 도 생각 외 로 더 이쁘 네요
만족	디스플레이 빌드 퀄리티 키보드 성능 뭐 하나 불 만족 스럽 ᆫ게 없 습니다
좋	가격대 성능 비 는 좋 아요
좋	외치 어 리 싸 았 ㅜ 더블 업 행사 하 ᆯ 때 바로 지르 어 버리 었 네요 진짜 이 값 에 이 성능 에 이 디자인 의 노트북 을 살 ᆫ다는 게 세상 이 참 좋 아 지 었 네요 아주 아주 만족 하 ㅂ니다 
만족	외치 어 리 싸 았 ㅜ 더블 업 행사 하 ᆯ 때 바로 지르 어 버리 었 네요 진짜 이 값 에 이 성능 에 이 디자인 의 노트북 을 살 ᆫ다는 게 세상 이 참 좋 아 지 었 네요 아주 아주 만족 하 ㅂ니다
좋	윈도우 10 설치 과정 에서 펜 소음 이 좀 심하 았 는데 설정 하 니 많이 좋 아 ？ 네 이 어 이 정도 가격 에 이 정도 성능 이 면 좋은것 같 네 이 어
만족	잦 은 이동 및 업무 & 간단 하 ᆫ 게임용 으로 사 았 는데 성능 은 OS 설치 하 고 깔 고 쓰 어 보 아야 하지만 일단 외관 과 무게 일체형 충전기 로 도 충분히 만족 하 ㅂ니다
만족	디자인 , 성능 만족 하 는 노트북 이 ㅂ니다
좋	레노버 라 이제 ᆫ 피카소 T 5 14 모니터 생각 보다 는 작 아요 성능 은 가성비 좋 고요 가지 고 다니 기 에 좋 을 듯 하 고요 발열 도 무난 하 고요 정말 이 지 모니터 좀더 크 ᆫ 것 나오 았 으면 진심 구매 하 ㅂ니다 
좋	레노버 라 이제 ᆫ 피카소 T 5 14 모니터 생각 보다 는 작 아요 성능 은 가성비 좋 고요 가지 고 다니 기 에 좋 을 듯 하 고요 발열 도 무난 하 고요 정말 이 지 모니터 좀더 크 ᆫ 것 나오 았 으면 진심 구매 하 ㅂ니다
좋	디자인 , 성능 , 가성비 , 좋 은 노트북 이 찾 다가 검색 하 다가 Lenovo S 340 - 14 API 라 이제 ᆫ 피카소 R 5 를 보 고 제 가 원하 는 노트북 이 아서 바로 구매 를 하 았 습니다
만족	만족 스럽 ᆫ 성능 에 부담 스럽 지 않 은 가격 이 가장 마음 에 들 었 고 노트북 무게 가 생각 보다 가볍 어서 놀라 았 습니다
만족	성능 , 디자인 그리고 , 가격 까지 모두 만족 하 ㅂ니다
좋	/ / 외부 상판 은 메탈 재질 , 하판 은 플라스틱 / / 내부 는 고무 재질 느낌 에 지문 도 적 고 , 손 느낌 좋 고 , 고급 스럽 ᄆ / / 키 보도 터치감 및 라이트 도 아주 적당 하 게 잘 조화 있 어 양호 / / 역시 ips 패널 이 라 시야 각 , 화질 현상 이 좋 음 / / 라덴 내장 그래픽 성능 이 뛰어나 ㅁ / / 돌 비 2 * 2 오디오 / / 이벤트 성 램 추가 가능 
좋	/ / 외부 상판 은 메탈 재질 , 하판 은 플라스틱 / / 내부 는 고무 재질 느낌 에 지문 도 적 고 , 손 느낌 좋 고 , 고급 스럽 ᄆ / / 키 보도 터치감 및 라이트 도 아주 적당 하 게 잘 조화 있 어 양호 / / 역시 ips 패널 이 라 시야 각 , 화질 현상 이 좋 음 / / 라덴 내장 그래픽 성능 이 뛰어나 ㅁ / / 돌 비 2 * 2 오디오 / / 이벤트 성 램 추가 가능
매우	사운드 다 맘 에 들 이 고 AMD 시리즈 의 성능 이 매우 기대 가 되 ㅂ니다
좋	40 만 원 대 후반 가격 에 성능 좋 고 디자인 좋 고 마감 좋 고 
