PNword	review
적당	1 킬로 짜리 와 는 비교 하 지 힘들 지만 , 가방 에 넣 어서 다니 는게 적당 하 ᆫ 무게 와 키보드 는 감도 좋 고요
가볍고	무게 도 가볍고 들 고 다니 기 편하 아서 완전 좋 습니다
가볍	무게 는 당연히 lg 그램 만큼 가볍 다 같 은 느낌 은 절대 아니 지만 들 고 다니 기 부담 은 없 어요
적당	직접 받 고 보 니 디자인 도 맘 에 들 고 사이즈 도 적당 하 며 무게 도 적당 하 ᆫ 것 같 습니다 
적당	직접 받 고 보 니 디자인 도 맘 에 들 고 사이즈 도 적당 하 며 무게 도 적당 하 ᆫ 것 같 습니다
가볍	이 가격 에 넓 은 화면 , 키보드라이트 , 가볍 ᆫ 무게 등 훌륭 하 네요
가볍	백팩 에 넣 고 다니 다가 노트북 과 충전기 무게 에 어깨 가 빠지 ᆯ 것 같 아 가볍 ᆫ 제품 으로 구매 하 았 습니다
가볍	13인치 크기 에 14인치 화면 이 라 너무 좋 고 무게 도 매우 가볍 습니다
적당	크기 도 적당 하 고 무게 도 가볍 네요 
가볍	크기 도 적당 하 고 무게 도 가볍 네요
가볍	진짜 맘 에 들 어요 색상 도 디자인 도 모니터 로 보 ᆫ 것 과 같 구요 카페 에서 노트북 자주 사용 하 아서 무게 도 중요 하 었 는데 꽤 가볍 게 느껴지 네요
적당	무게 도 적당 하 구요
적당	디자인 너무 심플 하 고 이쁘 어요 무게 도 적당 하 구요
가볍고	생각 보다 무게 는 가볍고
적당	14 ' 이 ᆫ지 적당 하 ᆫ 크기 와 가볍 ᆫ 무게 , 깔끔 하 ᆫ 디자인 , 작동 도 빠르 고 
가볍	14 ' 이 ᆫ지 적당 하 ᆫ 크기 와 가볍 ᆫ 무게 , 깔끔 하 ᆫ 디자인 , 작동 도 빠르 고
가볍	무게 도 생각 보다 더 가볍 어서 만족
가볍	색상 그레이 만족 하 고 , 무게 도 그 전 노트북 보다 훨씬 가볍 어 만족 하 ㅂ니다
가볍	무게 도 가볍 어요
무겁	무게 가 1 킬로그램 이 넘 어서 무겁 ᆯ 줄 알 았 는데 생각 보다 가볍 어요 
가볍	무게 가 1 킬로그램 이 넘 어서 무겁 ᆯ 줄 알 았 는데 생각 보다 가볍 어요
가볍	무게 도 그럭저럭 가볍 어요
적당	적당 하 ᆫ 무게 와 크기 이 라 들 고 다니 기 도 좋 습니다
무겁	무게 도 생각 보다 그렇게 무겁 다는 생각 안 들 이 고 아주 좋 습니다
적당	1 세대 에 비하 아 성능 이 좋아지 고 가격 도 착하 아 지 었 네요 무게 도 적당 하 ᆫ 편 이 라 부담없이 이동 하 ᆯ 수 도 있 고 이 오라 이제 ᆫ 흥하 네요 M
가볍	만족 스럽 ᆫ 성능 에 부담 스럽 지 않 은 가격 이 가장 마음 에 들 었 고 노트북 무게 가 생각 보다 가볍 어서 놀라 았 습니다
무게감	/ / 무게 는 본인 이 추가 로 HDD 1TB 를 부착 시키 어 좀더 무게감 이 있 음 / / 두께 는 다소 적당 하 ᄆ 
적당	/ / 무게 는 본인 이 추가 로 HDD 1TB 를 부착 시키 어 좀더 무게감 이 있 음 / / 두께 는 다소 적당 하 ᄆ
가볍	무게 는 막 가볍 ᆫ 무게 아니 지만 딱 적당 하 네요 
적당	무게 는 막 가볍 ᆫ 무게 아니 지만 딱 적당 하 네요
