PNword	review
설치	오늘 방문 수령 하 어 윈도우 설치 하 아서 사용 중 이 ᆫ데 너무 만족스럽 네요 부팅 속도 는 제 가 쓰 어 보 ᆫ 노트북 중 가장 빠르 ㅂ니다 ( 5 초 정도 ) 무게 도 가볍 다라고 하 ᆯ 수 는 없 지만 그래도 가방 에 넣 어도 부담 스럽 지 않 을 정도 에 요 마 감도 만족스럽 고 특히 블루 색상 이 이쁘 네요 배터리 시간 은 더 쓰 어 보 아야 알 겠 지만 보통 문서 작업 만 하 면 완충 하 면 하루 정도 는 무난 하 게 사용 하 ᆯ 수 있 을 것 같 아요 이 ᆫ 가격대 노트북 중 이 제품 이 제일 좋은 것 같 아서 기분 이 좋 네요 많이 파 시 어요
설치	단지 윈도우 설치 하 ᆯ 때 디스크 가 mbr 로 되 어 있 어서 자꾸 설치 하 ᆯ 수 없 다고 뜨 는 바람 에 애먹 었 습니다 
설치	단지 윈도우 설치 하 ᆯ 때 디스크 가 mbr 로 되 어 있 어서 자꾸 설치 하 ᆯ 수 없 다고 뜨 는 바람 에 애먹 었 습니다
설치	윈도우 설치 방법 은 인터넷 에 많이 올라오 아 있 어서 참고 하 았 더니 어렵 지 않 았 어요
설치	윈도우 설치 때 살짝 애먹 었 는데 네이버 검색 하 아서 하 니까 쉽 어요
깔	윈도우 깔 고 부팅 까지 10 초 가 걸리 지 않 네요
깔	윈도우 깔 는게 조금 어렵 었 는데 잘 깔 았 습니다 
깔	윈도우 깔 는게 조금 어렵 었 는데 잘 깔 았 습니다
설치	프리도스 버전 이 라 윈도우 설치 하 ᆯ 때 좀 버벅 이 었 네요
설치	오 자마자 윈도우 설치 하 고 실행 하 아 보 았 는데 나름 저가 형 노트북 대 의 가격 이 ᆫ데 도 화면 도 밝 고 디자인 도 고급스럽 네요
설치	이제 막 윈도우 설치 도 끝나 았 는데 잘 사용 하 아 보 도록 하 겠 습니 당 감사합니다
설치	윈도우 설치 시 약간 애먹 긴 하 았 으나 가성비 짱짱 속도 개 빠르 고 이쁘 ㅂ니다
설치	윈도우 설치 시 드라이브 에 설치 가 안 되 ᆫ다고 나오 면 인터넷 에 gpt 변환 검색 하 아서 설치 하 시 면 되 ㅂ니다 
설치	윈도우 설치 시 드라이브 에 설치 가 안 되 ᆫ다고 나오 면 인터넷 에 gpt 변환 검색 하 아서 설치 하 시 면 되 ㅂ니다 
설치	윈도우 설치 시 드라이브 에 설치 가 안 되 ᆫ다고 나오 면 인터넷 에 gpt 변환 검색 하 아서 설치 하 시 면 되 ㅂ니다
깔	받 자마자 윈도우 깔 고 사용 중 이 ㅂ니다
설치	윈도우 설치 도 잘 ？ 고 1 테라 하드 도 잘 잡히 ㅂ니다
깔	일단 윈도우 깔 고 많이 사용 하 아 보 지 는 않 았 지만 문제 는 없 는 것 같 아요
설치	윈도우 설치 시 UEFI 로 만들 어 놓 으면 체감 속도 는 그렇게 모르 겠 지만 좀더 빠르 어 지 는 것 같 아요
설치	아직 은 윈도우 를 설치 하 아야 하지만 벌써 부터 기대 가 되 ㅂ니다
설치	배송 도 빠르 게 오 았 고 윈도우 설치 ㅎ ㅜ 테스트 해보 니 정상 적 으로 작동 잘 하 ㅂ니다
설치	금일 상품 받 아서 윈도우 설치 까지 마감 이랑 디자인 깔끔 하 아서 좋 아요
설치	배송 빠르 게 받 아 보 았 어요 가성비 노트북 으로 알 고 있 었 는데 정말 좋 습니다 윈도우 설치 하 고 실행 하 아 보 는데 굉장히 빠르 네요
설치	윈도우 설치 하 느라 신경 을 많이 쓰 기 ᆫ 하 았 는데
설치	윈도우 설치 ㅎ ㅜ 화면 , 하 기 , 기타 스크래치 등 확인 하 았 고
깔	윈도우 깔 아 보 고 잘 쓰 겠 습니다
설치	배송 받 고 바로 윈도우 설치 ㅎ ㅜ 이상 없이 잘 쓰 고 있 습니다
설치	가지 고 있 던 윈도우10 설치 이미지 로 윈도우 설치 하 았 더니 빌드 번호 가 낮 아서 그렇 ᆫ지 블루스크린 이 뜨 네요 
설치	가지 고 있 던 윈도우10 설치 이미지 로 윈도우 설치 하 았 더니 빌드 번호 가 낮 아서 그렇 ᆫ지 블루스크린 이 뜨 네요
설치	배송 도 총알 같이 주문 다음날 바로 도착 하 아서 지금 막 윈도우 설치 하 았 네요
설치	윈도우 설치 하 기 전 찍 었 어요
설치	도스 제품 이 라 오 자마자 윈도우 설치 하 아 보 았 는데 아무 문제 없이 잘 돌아가 고 와이파이 랑 skype 다 빵빵 하 ㅂ니다
