PN,text,frequency
positive,설치,191
positive,깔,31
positive,정품,11
positive,깔리,5
positive,셋팅,3
positive,기본,3
positive,탑재,1
positive,문제없이,0
positive,활성화,0
positive,기본으로,0
negative,욕먹을 짓,0
