PN,text,frequency
positive,크,380
positive,좋,293
positive,17인치,173
positive,시원시원,50
positive,넓,42
positive,만족,36
positive,시원,31
positive,훨씬,25
positive,깨끗,14
positive,크게,10
positive,신세계,3
positive,와이드,1
