PN,text,frequency
positive,빠르,228
positive,바로,40
positive,하루,34
positive,당일,31
positive,빨리,30
positive,다음날,29
positive,꼼꼼,18
positive,정확,2
positive,예상,1
positive,무료,1
positive,안전 하게,0
negative,만,65
negative,늦,26
negative,걸리,9
negative,아쉽,8
negative,파손,8
negative,느리,7
negative,찢어지,3
negative,오래,3
negative,지연,2
negative,버려두,1
negative,직원,0
negative,지연이,0
