PN,text,frequency
positive,잘,80
positive,꼼꼼,29
positive,뽁뽁이,26
positive,깔끔,13
positive,튼튼,10
positive,안전,8
positive,빵빵,5
positive,포장상태,0
negative,아쉽,6
