PN,text,frequency
positive,빠르,49
positive,바로,9
positive,빨리,8
positive,당일,4
positive,하루,4
positive,꼼꼼,3
positive,다음날,2
positive,예상,2
positive,무료,1
positive,안전 하게,0
negative,걸리,14
negative,오래,9
negative,만,9
negative,늦,6
negative,아쉽,4
negative,느리,4
negative,지연,3
negative,직원,1
negative,지연이,1
negative,파손,0
