PN,text,frequency
positive,설치,10
positive,탑재,7
positive,깔리,6
positive,깔,3
positive,기본으로,2
positive,정품,2
positive,기본,2
positive,문제없이,1
positive,활성화,1
positive,셋팅,0
negative,욕먹을 짓,0
