PN,text,frequency
positive,좋,32
positive,저렴,15
positive,만족,15
positive,대비,13
positive,비교,7
positive,가성비,5
positive,빅스마일데이,3
positive,착하,3
positive,싸게,2
positive,굿,2
positive,이만한,1
positive,최저가,1
positive,득템,1
positive,마음,1
positive,행사,1
positive,훌륭,1
negative,비싸,1
