PNword	review
좋	가볍 어서 들 고 다니 는데 도 1 중 지장 없 고 여자 ᆫ데 도 무게 에 부담 없 어서 좋 네요 용산 에 직접 가 아서 메모리 도 업그레이드 바로 받 고 직접 박스 도 보여주 시 고 하 아서 더 안심 이 되 더라 구용 키스킨 이랑 화면 에 붙이 는 보호대 모두 붙이 었 는데 것 의 기포 없이 잘 붙 었 어요 기본 적 인 사은품 이 많 아서 기타 악세사리 를 제 가 따로 안 사 도 되 니까 추가비용 이 전혀 없 어서 좋 네요 마우스 부터 노트북 케이스 키스킨 화면 보호 스킨 전부 이 다 주 시 고 최고 예 용
크	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다 
좋	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다 
좋	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다 
좋	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다
크	약간 의 발열 이 있 으나 크 ᆫ 화면 , 가볍 ᆫ 무게 만족 하 ㅂ니다 
만족	약간 의 발열 이 있 으나 크 ᆫ 화면 , 가볍 ᆫ 무게 만족 하 ㅂ니다
17인치	15인치 그램 과 17인치 그램 중 고민 을 많이 하 었 는데 17인치 의 광할 하 ᆫ 화면 이 좋 아 보 아서 17 zd 990 - vx 50 k 를 구매 하 았 습니다 
17인치	15인치 그램 과 17인치 그램 중 고민 을 많이 하 었 는데 17인치 의 광할 하 ᆫ 화면 이 좋 아 보 아서 17 zd 990 - vx 50 k 를 구매 하 았 습니다 
좋	15인치 그램 과 17인치 그램 중 고민 을 많이 하 었 는데 17인치 의 광할 하 ᆫ 화면 이 좋 아 보 아서 17 zd 990 - vx 50 k 를 구매 하 았 습니다
17인치	실제로 화면 을 확인 하 아 보 니 15인치 노트북 만 화면 만 보 다가 17인치 의 크 ᆫ 화면 을 보 니 너무 광할 하 고 선명 하 네요 시피 유 도 i5 8세대 에 메모리 8 G SSD 256G 라 서 일반 적 으로 사용 하 는 환경 에서 는 별 무리 없이 빠르 ᆫ 속도 가 유지 되 더라고요 영화 볼 때 도 너무 좋 네요 추천 하 ㅂ니다 
크	실제로 화면 을 확인 하 아 보 니 15인치 노트북 만 화면 만 보 다가 17인치 의 크 ᆫ 화면 을 보 니 너무 광할 하 고 선명 하 네요 시피 유 도 i5 8세대 에 메모리 8 G SSD 256G 라 서 일반 적 으로 사용 하 는 환경 에서 는 별 무리 없이 빠르 ᆫ 속도 가 유지 되 더라고요 영화 볼 때 도 너무 좋 네요 추천 하 ㅂ니다 
좋	실제로 화면 을 확인 하 아 보 니 15인치 노트북 만 화면 만 보 다가 17인치 의 크 ᆫ 화면 을 보 니 너무 광할 하 고 선명 하 네요 시피 유 도 i5 8세대 에 메모리 8 G SSD 256G 라 서 일반 적 으로 사용 하 는 환경 에서 는 별 무리 없이 빠르 ᆫ 속도 가 유지 되 더라고요 영화 볼 때 도 너무 좋 네요 추천 하 ㅂ니다
좋	가볍고 광할 하 ᆫ 화면 빠르 ᆫ 속도 너무 좋 아요 17인치 그램 을 구매 하 시 ᆯ 생각 이 있 으시 ㅁ 추천 하 아요 
17인치	가볍고 광할 하 ᆫ 화면 빠르 ᆫ 속도 너무 좋 아요 17인치 그램 을 구매 하 시 ᆯ 생각 이 있 으시 ㅁ 추천 하 아요
17인치	처음 에 는 15인치 와 17인치 그램 중 에 계속 고민 하 다가 화면 이 크 ᆫ게 좋 을 것 같 아서 17 로 사 았 는데 생각 보다 가볍고 화면 도 큼직 하 아서 사용 하 ᆯ 때 편하 ᆯ 것 같 습니다 
크	처음 에 는 15인치 와 17인치 그램 중 에 계속 고민 하 다가 화면 이 크 ᆫ게 좋 을 것 같 아서 17 로 사 았 는데 생각 보다 가볍고 화면 도 큼직 하 아서 사용 하 ᆯ 때 편하 ᆯ 것 같 습니다 
좋	처음 에 는 15인치 와 17인치 그램 중 에 계속 고민 하 다가 화면 이 크 ᆫ게 좋 을 것 같 아서 17 로 사 았 는데 생각 보다 가볍고 화면 도 큼직 하 아서 사용 하 ᆯ 때 편하 ᆯ 것 같 습니다
훨씬	화면 도 훨씬 크 고 크 ᆫ 화면 치고 가볍 ᆫ 무게감 에 만족 
크	화면 도 훨씬 크 고 크 ᆫ 화면 치고 가볍 ᆫ 무게감 에 만족 
크	화면 도 훨씬 크 고 크 ᆫ 화면 치고 가볍 ᆫ 무게감 에 만족 
만족	화면 도 훨씬 크 고 크 ᆫ 화면 치고 가볍 ᆫ 무게감 에 만족
크	저 는 집 에서 메인 으로 쓰 ᆯ 것 이 라서 크 ᆫ 화면 으로 구입 하 았 습니다
크	무게 는 말 하 ᆯ 것 도 없 고 , 화면 은 진짜 크 ㅁ
17인치	15인치 살 ᆯ까 고민 하 다 17인치 사 았 는데 처음 받 아 보 고 너무 크 ᆫ 것 같 아서 살짝 후회 하 았 는데 사용 하 아 보 니 화면 크 ᆫ 것 사기 ㄹ 잘 하 았 네요 
크	15인치 살 ᆯ까 고민 하 다 17인치 사 았 는데 처음 받 아 보 고 너무 크 ᆫ 것 같 아서 살짝 후회 하 았 는데 사용 하 아 보 니 화면 크 ᆫ 것 사기 ㄹ 잘 하 았 네요 
크	15인치 살 ᆯ까 고민 하 다 17인치 사 았 는데 처음 받 아 보 고 너무 크 ᆫ 것 같 아서 살짝 후회 하 았 는데 사용 하 아 보 니 화면 크 ᆫ 것 사기 ㄹ 잘 하 았 네요
크	주로 강의 듣 는 용도 로 쓰 는데 확실히 화면 이 크 니 눈 이 넘 편하 ㅂ니다
17인치	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요 
크	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요 
좋	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요
시원	젤 맘 에 들 었 던 것 노트북 스럽 지 않 은 시원 스럽 ᆫ 화면 이 고 가정 용 으로 쓰 기 에 는 속도 도 빠르 아서 전 에 쓰 던 거북이 데스크탑 당장 치우 었 어요 , 두께 도 얄쌍 하 아서 가지 고 다니 기 부담 스럽 지 않 았 구요 , 윈10 설치 도 빠르 게 되 었 고 무선마우스 도 그램 정품 으로 오 아서 더 좋 았 어요 , 참 같이 오 ᆫ 그램 정품 가방 멋 스럽 어요 
