PNword	review
크	15인치 살 ᆯ까 고민 하 다 17인치 사 았 는데 처음 받 아 보 고 너무 크 ᆫ 것 같 아서 살짝 후회 하 았 는데 사용 하 아 보 니 화면 크 ᆫ 것 사기 ㄹ 잘 하 았 네요 
크	15인치 살 ᆯ까 고민 하 다 17인치 사 았 는데 처음 받 아 보 고 너무 크 ᆫ 것 같 아서 살짝 후회 하 았 는데 사용 하 아 보 니 화면 크 ᆫ 것 사기 ㄹ 잘 하 았 네요 
잘	15인치 살 ᆯ까 고민 하 다 17인치 사 았 는데 처음 받 아 보 고 너무 크 ᆫ 것 같 아서 살짝 후회 하 았 는데 사용 하 아 보 니 화면 크 ᆫ 것 사기 ㄹ 잘 하 았 네요
잘	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요 
크	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요 
좋	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요
만족	고민 많이 하 았 는게 , 배송 도 빠르 고 완전 만족 하 ㅂ니다
크	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
좋	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
좋	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
