PNword	review
가볍고	집 컴퓨터 가 수명 을 다하 아 가 아서 새로 살 려고 알아보 던 차 에 마침 G마켓 에서 빅스마일데이 할인 으로 아주 저렴 하 게 잘 구매 하 았 습니다 컴퓨터 를 쓰 다가 노트북 으로 넘어가 는 것 이 라 화면 이 너무 작 아서 답답 하 면 어쩌 나 걱정 하 았 는데 받 아 보 니 17인치 이 라 전혀 안 답답 하 고 좋 습니다 LG 그램 시리즈 이 라 17인치 이 라는 크 ᆫ 화면 에 비하 아 무게 도 휴대 가 가능 하 ᆯ 정도 로 가볍고 무엇 보다 이쁘 어요
가볍	예전 부터 구매 하 고 싶 었 는데 망설이 다 실제로 구매 하 아서 받 아 보 니 대화면 17인치 WQXGA 초고 해상도 가볍 ᆫ 무게 얇 은 베젤 풀 배열 백라이트 키보드 썬더볼트
가볍	오래가 는 배터리 게다가 가볍 ᆫ 무게 까지
가볍고	그램 은 가격 때문 에 고민 을 많이 하 았었 는데 상당히 저렴 하 게 구입 하 았 습니다 우선 배송 이 엄청 빠르 고 포장 도 신경 쓰 어서 하 아 주 시 ᆫ게 보이 ㅂ니다 무게 는 두말 하 ᆯ 것 없이 가볍고 크기 도 크 어서 좋 습니다 같이 구입 하 ᆫ 윈도우 도 설치 하 아 잘 사용 하 ㅂ니다 적극 추천
가볍	평소 주변 지인 들 노트북 이 14인치 13인치 이 라서 17인치 는 얼마나 크 ᆯ지 감 이 잘 안 잡히 었 는데 그래도 그램 은 작 겠 지 하 고 막상 받 으니 엄청 크게 느껴지 네요 그러 어도 무게 는 가볍 ᆫ 편 에 속하 ㅂ니다
가볍	정말 그램 의 명성 답 게 17인치 임 에 도 너무 가볍 습니다 15인치 와 17인치 사이 에서 고민 하 았 는데 이 정도 무게 이 라면 17인치 선택 하 기 를 잘 하 ᆫ 것 같 습니다
가볍고	역시 나 기대 하 았 던 대로 무게 는 가볍고 화면 은 크 고 상당히 만족 하 ㅂ니다
가볍	차량 이동 시 찾아가 기 쉽 ᄆ ( 직접 수령 시 잊 지 않 고 사은품 제공 ) 제품 특징 매우 가볍 고 성능 빵빵 경쟁사 모델 은 15인치 가 그램 17인치 와 유사 무게 이 죠
가볍고	17인치 대비 무게 도 가볍고 좋 네요
약간	무게 가 아주 약간 무겁 다는 느낌 이 있 습니다 
무겁	무게 가 아주 약간 무겁 다는 느낌 이 있 습니다
가볍고	사은품 으로 주 시 ᆫ 가죽 파우치 도 이쁘 고 깔끔 하 네요 제 가 가지 고 있 는 맥북 프로 15인치 와 비교 하 면 크기 는 살짝 커지 었 지만 무게 는 더 가볍고 화면 은 정말 커지 었 습니다
가볍고	17인치 대비 무게 도 가볍고 좋 네요
가볍	기존 LG 15인치 사용 중 이 았 는데 17인치 무게 가 상상 이상 으로 더 가볍 네요 자주 가지 고 다니 어야 하 는 특성 상 탁월 하 ᆫ 선택 이 았 습니다 노트북 에 이런 크 ᆫ 화면 이 라니 업무처리 ？ 동영상 자주 보 는 저 로서 는 만족도 최상 이 ㅂ니다
가볍고	무게 도 정말 가볍고 화면 크기 에 비하 아 사이즈 도 작 아서 원래 가지 고 있 던 15인치 노트북 파우치 에 들어가 ᆯ 정도 이 어서 아주 만족스럽 습니다
